id,time,score,city,nickname,gender,content
1038965584,2018-09-09 22:19,4.5,,,女性,不错  挺好看的😊
1038970811,2018-09-09 22:17,4.5,,,女性,支持渤哥。。。确实很棒
1038965548,2018-09-09 22:17,5.0,,,男性,好看好看好看
1038968111,2018-09-09 22:17,0.5,,,男性,垃圾片肥皂剧
1038970798,2018-09-09 22:16,2.5,,,男性,一般般，票买错了。
1038970760,2018-09-09 22:15,5.0,,,女性,支持我的小兴
1038971632,2018-09-09 22:15,5.0,,,女性,很有意思的。
1038865789,2018-09-09 22:13,5.0,,,女性,很好看，精彩绝伦！
1038968079,2018-09-09 22:13,3.5,,,女性,感觉还可以。但是总觉得有点美中不足
1038968070,2018-09-09 22:12,5.0,,,女性,看懂了，这就是人类，值得深思
1038962824,2018-09-09 22:11,4.0,,,女性,就还好..没有想象中的有意思。
1038965480,2018-09-09 22:10,5.0,,,男性,好看。。。。。。
1038971528,2018-09-09 22:10,5.0,,,女性,人性最真实的一面！
1038962802,2018-09-09 22:09,5.0,,,女性,好看，看电影有瘾了。
1038971395,2018-09-09 22:05,5.0,,,女性,好看的电影，喜欢王宝强和黄渤
1038971361,2018-09-09 22:03,3.0,,,女性,还算可以吧。
1038962740,2018-09-09 22:03,3.0,,,女性,对取景视觉疲劳
1038970441,2018-09-09 22:03,2.5,,,男性,完美的演绎了一句话，不怕神一样的对手，就怕猪一样的队友。这句话贯穿整个电影。
1038959954,2018-09-09 22:02,5.0,,,女性,强烈推荐非常好看
1037423349,2018-09-09 22:00,5.0,,,女性,挺有意思的哈哈哈呵呵呵
1038971276,2018-09-09 22:00,4.5,,,男性,是黄渤的风格，用影片里面的一句话，简单，真
1038962701,2018-09-09 21:59,2.5,,,女性,不够写实，情节过于简单
1038971244,2018-09-09 21:59,4.0,,,女性,二刷感觉很多点看得更加清晰了，立意的确已经不仅仅在于个人了
1038965340,2018-09-09 21:56,2.0,,,女性,just soso
1038959875,2018-09-09 21:54,4.5,,,女性,很好的影片！
1038971059,2018-09-09 21:50,5.0,,,女性,值得一看 没毛病
1038965282,2018-09-09 21:50,5.0,,,女性,超好看 很生动形象的片子
1038971016,2018-09-09 21:49,4.5,,,女性,艺兴黑化了嘤嘤嘤
1038962582,2018-09-09 21:48,4.0,,,女性,挺好的啊啊啊啊啊啊
1038970052,2018-09-09 21:48,4.0,,,男性,看似嬉笑怒骂，其实揭露了人性的弱点。每个人内心都有丑陋和美好，丑陋多了就是魔鬼，美好多了就是天使。
1038966988,2018-09-09 21:44,5.0,,,男性,艺兴哥好棒，不愧是我的榜样
1038966977,2018-09-09 21:44,5.0,,,男性,很好看，每个人都有自己的心思
1038967862,2018-09-09 21:43,2.5,,,女性,看不太懂，没什么意思
1038966940,2018-09-09 21:42,5.0,,,女性,好看  特别不错  超乎我的想象张艺兴加油哦张艺兴牙齿好白啊情节很不错  也有笑点
1038966924,2018-09-09 21:41,0.5,,,女性,广告太多，片子也烂
1038967821,2018-09-09 21:41,5.0,,,女性,很值得思考，
1038965180,2018-09-09 21:40,4.0,,,女性,不错很搞笑的
1038962506,2018-09-09 21:40,5.0,,,女性,完美，前后剧情紧凑，伏笔很多，很有意思，结局也很美好，期待新作
1038959720,2018-09-09 21:39,5.0,,,男性,非常好看，直击内心
1038967775,2018-09-09 21:39,3.5,,,男性,不是很好看。
1038889363,2018-09-09 21:38,4.0,,,女性,挺好看的电影
1038966816,2018-09-09 21:38,4.5,,,女性,挺好看的，看网上分析吓到了，看的时候真没想辣么多。。
1038962485,2018-09-09 21:38,5.0,,,男性,很好看，不错的
1038967727,2018-09-09 21:38,5.0,,,女性,艺兴真的是打破了我的想象，演的非常好
1038965127,2018-09-09 21:37,4.0,,,女性,还好。。。。。
1038962467,2018-09-09 21:37,5.0,,,女性,一个字 好！
1038967692,2018-09-09 21:36,4.0,,,女性,哎呦我去好看哦
1038967684,2018-09-09 21:35,5.0,,,女性,好看！！！！！！！
1038967668,2018-09-09 21:34,4.0,,,女性,挺不错的，很喜欢黄渤！张艺兴的演技也越来越好了！
1038966718,2018-09-09 21:34,3.5,,,女性,本人觉得不是很好看，不过还是喜欢的
1038959643,2018-09-09 21:34,4.5,,,女性,很不错，特喜欢
1038965086,2018-09-09 21:33,5.0,,,女性,蛮好可以  非常棒
1038966685,2018-09-09 21:33,4.5,,,男性,电影不错，但是电影院不把电影放完，没看完就关了
1038966665,2018-09-09 21:32,0.5,,,女性,差的一比很啊
1038967588,2018-09-09 21:31,5.0,,,女性,非常好，。。。
1038966642,2018-09-09 21:31,5.0,,,女性,人性的挣扎，欲望的放大，最后一念之差。
1038857777,2018-09-09 21:31,5.0,,,女性,好看的，精彩的一次
1038967558,2018-09-09 21:30,5.0,,,女性,很不错的电影。黄渤很有才
1038959603,2018-09-09 21:30,3.5,,,女性,新影院，第一感觉就是比较好的。试听效果极强，屏幕超宽，超大。
1038966596,2018-09-09 21:29,3.5,,,男性,剧本寓意深远，艺术表现形式较好.作为喜剧片还不够格
1038966581,2018-09-09 21:28,3.5,,,女性,一般，不怎么喜欢
1038967457,2018-09-09 21:26,5.0,,,男性,不错不错，非常好看，笑点也很好
1038966524,2018-09-09 21:26,5.0,,,女性,嗯还算能看得懂
1038967454,2018-09-09 21:26,5.0,,,男性,冲黄渤去的，感觉不错！
1038967453,2018-09-09 21:26,5.0,,,女性,很好看，值得推荐
1038865716,2018-09-09 21:25,4.5,,,男性,有深度，对人性进行了深度揭示
1038955993,2018-09-09 21:25,5.0,,,女性,人家都是看有没有意思，我家小哥哥竟然看出了人心
1038966495,2018-09-09 21:24,5.0,,,女性,好看。。。。。。
1038967395,2018-09-09 21:24,3.5,,,女性,凸显一部人性的电影。
1038955977,2018-09-09 21:23,4.5,,,女性,国产手影，，可以了
1038966461,2018-09-09 21:23,2.5,,,女性,太疯狂，乱的很
1038962298,2018-09-09 21:20,5.0,,,女性,非常好很好看
1038966364,2018-09-09 21:18,4.5,,,女性,黄渤导演，让人惊喜
1038966351,2018-09-09 21:18,4.0,,,女性,黄渤第一次自导自演的电影还是很不错的，演员基本都是实力派
1038955927,2018-09-09 21:17,4.0,,,女性,再现了人类的另一面
1038967236,2018-09-09 21:17,5.0,,,男性,挺好看的，好玩
1038959457,2018-09-09 21:13,5.0,,,男性,好搞笑建议你们看看
1038955887,2018-09-09 21:13,5.0,,,女性,好看，看了解析更震惊。
1038955886,2018-09-09 21:13,5.0,,,男性,挺有深意的（在看完电影搜解读），在看的时候也还行，整个设定新颖。
1038966226,2018-09-09 21:12,4.0,,,男性,演的还行，剧情有点牵强！
1038962215,2018-09-09 21:12,3.0,,,女性,没意思，演员也不咋地
1038889312,2018-09-09 21:12,4.5,,,女性,很好的电影   就是贵了点
1038966164,2018-09-09 21:09,4.5,,,女性,电影还不错，挺好的，艺兴的表演又进步了…
1038967052,2018-09-09 21:08,4.0,,,男性,暑期的几部电影看完最后的观感几乎一致：在金钱诱惑下…不能泯灭自己的良心
1038966121,2018-09-09 21:08,5.0,,,女性,很好看......
1038967038,2018-09-09 21:08,5.0,,,女性,还不错，意思还是蛮不错的，被钱砸中了却无福消受
1038962155,2018-09-09 21:06,2.5,,,女性,大失所望！一点不好笑，真是部没深度的电影！
1038964951,2018-09-09 21:03,4.0,,,女性,很喜欢黄渤，张艺兴，王迅，于和伟。整个故事荒诞却有趣，细想又让人觉得恐惧，这大概就是人性吧。
1038963985,2018-09-09 21:02,5.0,,,女性,冒险类型挺好看的
1038964908,2018-09-09 21:00,5.0,,,男性,有笑感 很好
1038964864,2018-09-09 20:58,5.0,,,女性,每次黄渤的电影必看
1038963896,2018-09-09 20:58,4.0,,,女性,好的，下次在看
1038963878,2018-09-09 20:57,3.5,,,女性,想象力丰富。
1038963865,2018-09-09 20:57,2.0,,,女性,导演还需要努力，细节处理太粗糙了
1038955720,2018-09-09 20:54,3.5,,,女性,没有领悟到精髓。
1038955718,2018-09-09 20:54,5.0,,,女性,还不错！！！！！！！！！！！！
1038963781,2018-09-09 20:53,3.5,,,男性,一般吧，故事挺好，但是太单薄了，道理太表面了，人性面也没有过多叙述，没有深化
1038962014,2018-09-09 20:51,3.5,,,女性,电影情节不算精彩，笑点也不太够，总之就是暴力与人性的电影
1038963705,2018-09-09 20:49,2.5,,,男性,一般中途睡着了3次
1038959251,2018-09-09 20:49,5.0,,,女性,电影很有意思，最大的惊喜莫过于张艺兴，从之前的任人欺负的小人物，到后面角色的反转，角色表现的很到位，赞一个
1038955657,2018-09-09 20:47,4.5,,,女性,为了不让你骄傲
1038964591,2018-09-09 20:47,3.0,,,女性,不咋滴，一般般。
1038955655,2018-09-09 20:47,4.0,,,男性,影片感觉一般般。
1038963624,2018-09-09 20:46,5.0,,,女性,很好看，脑洞大开
1038963610,2018-09-09 20:44,3.0,,,女性,超烂，爱。。。
1038964510,2018-09-09 20:43,4.0,,,女性,很不错的电影
1038964484,2018-09-09 20:42,5.0,,,女性,很好看，建议大家去看。
1038963496,2018-09-09 20:39,5.0,,,男性,真的是一出好戏，意犹未尽的感觉
1038963480,2018-09-09 20:39,2.5,,,女性,荒诞剧表达人性，但是还是差了点什么，人性表达得不够。
1038964417,2018-09-09 20:38,4.0,,,女性,感觉里面少了等点金条
1038963473,2018-09-09 20:38,4.0,,,女性,笑点还不少～
1038882420,2018-09-09 20:38,0.5,,,女性,房间里面气味太大
1038952861,2018-09-09 20:36,2.5,,,女性,一般，不是很好看
1038964274,2018-09-09 20:32,5.0,,,女性,好看  张艺兴的表演太赞了
1038964273,2018-09-09 20:32,5.0,,,男性,王宝强👍👍👍👍👍
1038952811,2018-09-09 20:32,5.0,,,女性,不错不错😄😄
1038963314,2018-09-09 20:31,5.0,,,女性,搞笑，刺激，很不错的电影
1033713525,2018-09-09 20:31,5.0,,,女性,黄老师的处女座，很棒，很有意义。
1038964239,2018-09-09 20:30,5.0,,,男性,的确是一出好戏
1038964206,2018-09-09 20:28,4.0,,,女性,一般吧，相对于简单。
1038955514,2018-09-09 20:28,3.5,,,女性,挺好看的，温馨
1038955503,2018-09-09 20:27,4.5,,,女性,剧情紧凑，还可以吧
1038955501,2018-09-09 20:27,5.0,,,男性,黄渤出演，必属精品
1038952753,2018-09-09 20:26,3.0,,,男性,2D是3D就好了
1038964123,2018-09-09 20:25,5.0,,,女性,环境优雅，很好
1038964078,2018-09-09 20:24,5.0,,,女性,搞笑是搞笑，人不帅
1038964028,2018-09-09 20:22,5.0,,,女性,情节设计真的扣人心弦，跌宕起伏，引人入胜，两小时14分钟的时间，完整的叙述了整个故事，但是我个人觉得时间有点长，因为到后面我有点坐不住了
1038951987,2018-09-09 20:21,3.5,,,女性,一般般，一般般
1038964016,2018-09-09 20:21,4.0,,,女性,小兴结局太惨了，总体来说是一部讲人性的电影，起因还是源于专家的瞎说，很有意思
1038955443,2018-09-09 20:21,5.0,,,男性,不错不错，很烧脑。喜欢渤哥的每一部电影。不管是自己的还是参演的。
1038961987,2018-09-09 20:20,5.0,,,女性,特别好非常完美
1038960976,2018-09-09 20:16,5.0,,,男性,黄渤的戏也挺无厘头的，有点周星驰的风格
1038951927,2018-09-09 20:15,5.0,,,男性,不错，可以看一下
1038952634,2018-09-09 20:14,5.0,,,女性,棒。。。。。
1038955365,2018-09-09 20:12,5.0,,,男性,绝对没意思 不现实的片子
1038951898,2018-09-09 20:12,2.0,,,女性,一般吧，没那么好看
1038961800,2018-09-09 20:11,5.0,,,女性,有深度但我看不懂
1038961782,2018-09-09 20:11,4.0,,,女性,剧情有点乱，后半段比前半段好很多…
1038960878,2018-09-09 20:11,4.5,,,女性,减下去的内容太多了
1038960876,2018-09-09 20:11,5.0,,,女性,非常好看  非常完美
1038960827,2018-09-09 20:09,4.0,,,女性,还不错，跟朋友看的，
1038961707,2018-09-09 20:08,5.0,,,女性,好看好看好看
1038955327,2018-09-09 20:07,5.0,,,男性,我个人觉得，挺有意思。哈哈😄
1038951824,2018-09-09 20:06,5.0,,,男性,我是外国人出差到中国，这一个星期内我总共看了5部电影，这部电影是最好看了
1038960716,2018-09-09 20:05,4.5,,,女性,很好看 真的很棒
1038960699,2018-09-09 20:04,5.0,,,男性,人性的大爆发
1038955305,2018-09-09 20:04,5.0,,,男性,很不错的，支持黄渤
1038961603,2018-09-09 20:04,5.0,,,女性,电影非常好看
1038961573,2018-09-09 20:02,5.0,,,女性,好看！！！！！
1038961554,2018-09-09 20:01,4.0,,,女性,与渤哥以往的演绎风格还是有一点点差别的
1038961546,2018-09-09 20:01,4.0,,,女性,还行，还能看看😄
1038960580,2018-09-09 19:59,5.0,,,女性,好看很不错的电影
1038951769,2018-09-09 19:58,5.0,,,女性,黄渤的电影，没的说，看完还是有点感触的
1038952469,2018-09-09 19:58,4.5,,,女性,影片还行，常规的东西。
1038955227,2018-09-09 19:57,5.0,,,女性,很好看，寓意很深
1033816333,2018-09-09 19:57,3.0,,,女性,挺失望的。这什么**剧情啊。跟网络小说一毛一样，太狗血了，穷*丝跟女神一起流落无人岛。然后打怪升级成为了高富帅的故事。在这个基础上加了人性，感觉好生硬。说的是让人活的有希望。三个老大，一个是大锅饭，第二个资本家，第三个虚伪的演说家给了大家希望。故事最后演说家的欲望也被挖掘了出来。呵呵，逻辑不清，当其他人都是傻的？给了6分因为黄渤，只给6分也是因为黄渤。
1038952455,2018-09-09 19:56,3.5,,,女性,很大的期待去看的     前面都挺好的    包括中间他们的争执      也不知道为什么总感觉差了点什么
1038961414,2018-09-09 19:55,3.5,,,男性,真实，人性，人心，欲望。
1038865623,2018-09-09 19:54,2.5,,,女性,一般般吧，感觉没什么剧情
1038951734,2018-09-09 19:54,4.0,,,女性,还不错。挺好的
1038961341,2018-09-09 19:52,3.5,,,女性,天气问题没去成，浪费了
1038960425,2018-09-09 19:52,4.5,,,女性,虽然能猜到结局，但整个过程中关乎的人性，确实让人深思
1038961332,2018-09-09 19:51,4.5,,,女性,不错，值得深思
1038955173,2018-09-09 19:51,4.5,,,女性,人性表演！值得一看
1038952416,2018-09-09 19:51,0.0,,,女性,不错的电影，多看两遍会更好
1038951700,2018-09-09 19:51,0.5,,,女性,可能我太蠢了  看不懂
1038955149,2018-09-09 19:50,4.0,,,男性,vvvv反反复复
1038960344,2018-09-09 19:49,2.5,,,男性,一般吧，不是很好
1038960338,2018-09-09 19:49,3.0,,,女性,这个剧情有点扯
1038961253,2018-09-09 19:49,4.0,,,女性,支持下，喜欢黄渤
1038960323,2018-09-09 19:48,5.0,,,女性,压抑，沉闷……
1038960311,2018-09-09 19:48,5.0,,,女性,值得一看，赞👍
1038955125,2018-09-09 19:47,3.0,,,女性,一般般 没有想象中那么好 演技在线
1038961164,2018-09-09 19:45,5.0,,,女性,很好。很好。很好
1038960206,2018-09-09 19:44,5.0,,,女性,好很好非常好
1038952344,2018-09-09 19:44,4.5,,,女性,电影不错，值得深思，希望再接再厉加油黄导
1038952324,2018-09-09 19:43,5.0,,,女性,还可以的哦哦
1038961088,2018-09-09 19:41,5.0,,,女性,很有故事的一个  强烈推荐
1038960090,2018-09-09 19:39,1.0,,,女性,差评差评差评
1038961026,2018-09-09 19:39,5.0,,,女性,作为娱乐圈公认的情商高的男人 黄渤老师八年磨一剑 由演员到导演的跨度转变。很赞👍
1038961023,2018-09-09 19:39,5.0,,,女性,贼好看棒棒哒
1038865604,2018-09-09 19:38,5.0,,,女性,好很好非常好
1038958992,2018-09-09 19:38,5.0,,,女性,考虑考虑厉害👍
1038958981,2018-09-09 19:37,5.0,,,女性,艺兴演的很好啊，继续努力努力再努力
1038952270,2018-09-09 19:37,2.5,,,女性,一般般 还行吧
1038958933,2018-09-09 19:36,5.0,,,女性,非常好看。😍
1038957990,2018-09-09 19:35,3.5,,,女性,挺搞笑的，也对人性一个很好的阐述！
1038957953,2018-09-09 19:34,3.5,,,女性,一般吧，故事情节很慢，黄渤也没那么好笑了
1038958876,2018-09-09 19:34,3.5,,,女性,还好还好..
1038957947,2018-09-09 19:34,4.5,,,男性,一般吧。。。
1038957926,2018-09-09 19:33,5.0,,,女性,好  太好看了
1038889206,2018-09-09 19:31,4.0,,,女性,奔着黄渤去的，本以为是十分搞笑的，看到后虽有搞笑但是不是很多笑点。里边的教育意义挺大。结尾有点仓促。
1038952220,2018-09-09 19:31,4.0,,,女性,题材不错，也反应当今社会的一些问题。
1038957875,2018-09-09 19:31,4.0,,,女性,我觉得还可以吧
1038947958,2018-09-09 19:31,3.0,,,女性,看电影过程中有点卡
1038958791,2018-09-09 19:31,4.5,,,女性,不错，挺有意思
1038957860,2018-09-09 19:30,5.0,,,女性,挺好的，喜欢。
1038957856,2018-09-09 19:30,4.0,,,男性,有点乱跑什么啊，
1038951484,2018-09-09 19:29,2.5,,,女性,一般吧  剧情不是很精彩
1038957797,2018-09-09 19:28,5.0,,,女性,真的是一出好戏，各种剧情线复杂却又逻辑分明，，向我们展示了混沌走向秩序的过程，也展示了复杂的人性关系。
1038952184,2018-09-09 19:28,5.0,,,女性,可以可以的～～～～～～～
1038958693,2018-09-09 19:27,5.0,,,男性,非常好。。。
1038951459,2018-09-09 19:27,2.5,,,女性,不好看，后悔
1033847997,2018-09-09 19:27,5.0,,,女性,好看的不得了
1038951453,2018-09-09 19:26,5.0,,,女性,确实不错，黄渤，张艺兴都挺出彩
1038947919,2018-09-09 19:26,4.0,,,女性,凑乎吧凑乎吧
1038957712,2018-09-09 19:25,5.0,,,女性,不错不错不错
1038957709,2018-09-09 19:25,5.0,,,女性,真是一出好戏
1038958616,2018-09-09 19:24,5.0,,,女性,好看，启发很大
1038946731,2018-09-09 19:24,5.0,,,女性,没有想像中的喜剧效果，但也算不错了，拍出了人性的自私、贪婪、和友爱，小绵羊张艺兴的演技不错呢，有进步，不是只能演善良的小鲜肉，也能演反派呢
1038958607,2018-09-09 19:24,5.0,,,女性,不错哦             。。
1038957693,2018-09-09 19:24,5.0,,,女性,不错，，，，
1038951430,2018-09-09 19:24,5.0,,,女性,非常好看支持
1038958587,2018-09-09 19:23,4.5,,,女性,反应一定的社会现象，蛮不错的
1038958571,2018-09-09 19:23,3.5,,,女性,没想象中那么搞笑
1038952132,2018-09-09 19:23,5.0,,,女性,真的是一出好戏 很烧脑
1038958547,2018-09-09 19:22,5.0,,,女性,最喜欢黄渤排的电影了
1038958545,2018-09-09 19:22,4.5,,,女性,还不错，比期待的要好
1038951399,2018-09-09 19:21,5.0,,,女性,没有想象的那么好看。
1038947834,2018-09-09 19:18,5.0,,,女性,好看好看好看好看
1038947833,2018-09-09 19:18,5.0,,,女性,很不错的电影，很喜欢
1038957527,2018-09-09 19:17,4.5,,,女性,电影挺好看的，尤其是屏幕够大
1038958385,2018-09-09 19:16,4.5,,,女性,挺好看。不心动
1038957504,2018-09-09 19:16,5.0,,,女性,感觉还可以的
1038958373,2018-09-09 19:16,5.0,,,男性,感觉这部电影就是映射人性
1038947790,2018-09-09 19:15,5.0,,,女性,好看，紫薯布丁
1038889185,2018-09-09 19:15,5.0,,,女性,没见过开始，还是买错了了票，哈哈哈哈
1038947789,2018-09-09 19:15,5.0,,,女性,看出了人性。
1038952038,2018-09-09 19:14,2.0,,,女性,看到睡着了，无语
1038957442,2018-09-09 19:14,5.0,,,男性,不错不错，很不错
1038957412,2018-09-09 19:13,5.0,,,女性,非常好，好，好
1038951296,2018-09-09 19:13,5.0,,,女性,经典影片，值得推荐
1038957396,2018-09-09 19:13,5.0,,,女性,好看 支持😊
1038957349,2018-09-09 19:11,0.5,,,女性,不好看，一点意思没有
1038957336,2018-09-09 19:11,0.5,,,女性,对不起给差评不是因为电影是因为我没法儿去看还不能退( ･᷄ὢ･᷅ )
1038957299,2018-09-09 19:09,4.0,,,女性,逻辑性比较强，有点无厘头，讽刺性也比较大
1038944988,2018-09-09 19:09,5.0,,,男性,很不错的电影
1038957276,2018-09-09 19:09,5.0,,,女性,一部直击人心的电影。
1038951222,2018-09-09 19:09,4.5,,,男性,有点意思的电影 不同寻常的思路 演员搭配也还不错 每个人的性格刻画的也都挺到位 黄渤可以是一个好的演员 也可以是个好导演
1038951196,2018-09-09 19:07,4.5,,,女性,好看，值得体验
1038957211,2018-09-09 19:06,5.0,,,女性,还不错，很喜欢黄渤
1038958077,2018-09-09 19:06,5.0,,,女性,很好，，，，
1038951181,2018-09-09 19:05,4.0,,,女性,支持渤哥！！
1038957166,2018-09-09 19:05,4.5,,,女性,看不懂就是瞎乐😂😂支持黄渤
1038958016,2018-09-09 19:04,5.0,,,男性,特别的漂流记
1038944915,2018-09-09 19:02,5.0,,,女性,呵呵嘿度还是
1038954866,2018-09-09 18:59,4.5,,,女性,我的凡凡是超级帅
1038954845,2018-09-09 18:58,5.0,,,女性,挺好看的希望大家去看
1038947587,2018-09-09 18:58,5.0,,,女性,好看好看好好看
1038944873,2018-09-09 18:58,5.0,,,女性,还不错   没有哲理
1038953936,2018-09-09 18:58,4.0,,,女性,还好吧，值得深思
1038954793,2018-09-09 18:57,3.5,,,女性,很现实，很残酷
